,AUT,AUS,BEL,BGR,BRA,CAN,CHN,DEU,ESP,FRA,GBR,HUN,IDN,IND,IRL,ITA,JPN,KOR,MEX,NLD,NOR,POL,PRT,ROU,RUS,TUR,TWN,USA,REU,RoW
AUS Manufacture of furniture; other manufacturing,23.0,2223.5,14.9,7.2,3.2,56.5,32.2,896.1,62.2,186.8,113.0,46.8,0.4,4.9,8.5,279.0,90.9,12.4,7.1,40.9,24.1,40.8,13.0,18.4,51.7,12.2,0.8,228.5,481.7,172.8
AUS Repair and installation of machinery and equipment,0.6,698.9,1.5,1.2,0.8,0.6,4.7,54.2,2.2,20.0,3.3,5.9,0.1,0.9,0.2,8.8,1.2,1.1,0.7,8.0,5.4,2.3,4.8,7.7,2.5,1.3,6.6,6.8,31.2,35.5
"AUS Electricity, gas, steam and air conditioning supply",0.1,3959.2,10.4,0.1,0.1,0.2,3.0,146.1,0.7,1.4,0.8,4.7,0.0,0.1,0.3,10.2,0.1,0.1,0.0,2.6,0.3,1.3,0.2,1.2,0.1,0.4,0.2,1.4,15.6,27.1
"AUS Water collection, treatment and supply",0.0,32.9,0.1,0.0,0.0,0.0,0.1,0.8,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-28.1
"AUS Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",0.1,129.0,0.2,0.1,0.0,0.1,0.6,2.6,0.3,0.4,0.3,0.3,0.0,0.1,0.0,0.8,0.1,0.1,0.1,0.3,0.1,0.3,0.1,0.3,0.2,0.1,0.1,0.7,2.3,25.8
AUS Construction,0.8,28505.6,1.6,0.3,0.2,0.7,5.5,23.3,1.7,3.8,5.8,6.7,0.1,1.4,0.2,6.3,0.8,0.4,0.4,2.9,0.9,24.3,0.6,4.5,5.6,0.7,0.7,4.4,31.4,66.2
AUS Wholesale and retail trade and repair of motor vehicles and motorcycles,1.7,5230.7,1.4,1.1,0.9,1.4,4.9,54.5,3.9,7.0,6.0,6.2,0.1,0.7,0.4,12.2,1.6,1.4,1.0,2.3,0.8,3.9,1.2,4.1,4.0,1.1,0.5,15.9,30.3,23.0
"AUS Wholesale trade, except of motor vehicles and motorcycles",24.7,10860.7,21.5,15.6,13.2,18.8,65.5,734.4,58.7,113.0,82.7,96.5,2.0,9.7,11.0,199.0,24.2,18.7,14.8,40.4,13.1,57.3,19.7,59.3,55.4,16.9,9.5,222.2,450.6,1118.6
"AUS Retail trade, except of motor vehicles and motorcycles",0.9,18705.4,1.7,0.6,0.4,0.9,5.2,36.1,2.7,4.2,5.0,3.8,0.1,0.6,1.7,9.8,1.2,0.6,0.5,2.8,0.5,2.9,0.7,3.3,2.0,0.6,0.3,8.4,25.9,42.3
AUS Land transport and transport via pipelines,7.3,5093.2,34.9,4.9,0.8,6.2,14.6,299.8,21.6,25.0,21.2,31.1,0.3,0.7,1.3,97.2,5.0,1.3,0.8,11.7,0.9,40.7,1.6,7.6,14.3,19.4,0.9,18.4,230.9,848.0
AUS Water transport,0.0,9.0,0.1,0.0,0.0,0.1,0.2,2.0,0.1,0.2,0.6,0.2,0.0,0.9,0.0,0.5,0.3,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.1,0.4,0.0,0.4,1.2,37.2
AUS Air transport,0.0,1548.7,3.3,3.1,0.2,3.5,2.1,34.7,9.7,12.0,18.9,13.8,0.1,21.2,1.2,86.9,9.4,0.4,0.6,5.2,0.7,2.2,0.6,2.7,0.7,1.3,0.4,12.4,50.3,51.9
AUS Warehousing and support activities for transportation,2.5,1593.2,28.8,0.9,0.6,0.9,3.7,210.7,10.8,18.2,6.3,13.4,0.1,4.4,0.2,86.1,2.9,1.4,0.5,3.4,1.2,6.0,0.9,2.6,4.0,2.2,0.5,6.6,59.1,93.4
AUS Postal and courier activities,0.0,258.3,1.7,0.8,0.0,0.1,0.5,24.7,2.9,2.4,16.4,1.8,0.0,0.0,1.8,37.0,0.0,0.0,0.0,3.7,0.3,0.7,0.1,0.2,0.0,0.0,0.1,0.0,11.6,151.6
AUS Accommodation and food service activities,2.1,17206.2,35.5,2.8,0.9,5.9,2.7,349.8,3.7,1.0,76.2,18.5,0.1,0.5,57.2,53.4,8.5,0.6,0.1,1.4,0.1,0.9,1.1,18.3,0.8,0.2,1.6,3.5,301.2,95.5
AUS Publishing activities,1.7,709.8,5.6,1.0,0.1,0.0,0.4,131.6,1.5,7.4,6.8,7.6,0.1,0.0,0.0,8.0,0.2,0.3,0.0,4.3,1.1,15.0,1.1,2.7,0.0,0.0,0.3,14.0,51.4,88.4
