,0
DEU Legal and accounting activities; activities of head offices; management consultancy activities,3183.1
DEU Architectural and engineering activities; technical testing and analysis,1416.5
DEU Scientific research and development,478.9
DEU Advertising and market research,709.6
"DEU Other professional, scientific and technical activities; veterinary activities",660.3
DEU Administrative and support service activities,4481.3
DEU Public administration and defence; compulsory social security,7791.6
DEU Education,5282.7
DEU Human health and social work activities,10313.4
DEU Other service activities,5038.2
DEU Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
DEU Activities of extraterritorial organizations and bodies,0.0
"ESP Crop and animal production, hunting and related service activities",7818.0
ESP Forestry and logging,245.4
ESP Fishing and aquaculture,66.2
ESP Mining and quarrying,1063.4
"ESP Manufacture of food products, beverages and tobacco products",3470.1
"ESP Manufacture of textiles, wearing apparel and leather products",1040.6
"ESP Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",479.9
ESP Manufacture of paper and paper products,2217.3
ESP Printing and reproduction of recorded media,717.3
ESP Manufacture of coke and refined petroleum products ,11071.0
ESP Manufacture of chemicals and chemical products ,12806.7
ESP Manufacture of basic pharmaceutical products and pharmaceutical preparations,51.0
ESP Manufacture of rubber and plastic products,3250.6
ESP Manufacture of other non-metallic mineral products,35773.8
ESP Manufacture of basic metals,12077.8
"ESP Manufacture of fabricated metal products, except machinery and equipment",1203.7
"ESP Manufacture of computer, electronic and optical products",143.8
ESP Manufacture of electrical equipment,446.4
ESP Manufacture of machinery and equipment n.e.c.,560.8
"ESP Manufacture of motor vehicles, trailers and semi-trailers",1095.2
ESP Manufacture of other transport equipment,306.1
ESP Manufacture of furniture; other manufacturing,898.1
ESP Repair and installation of machinery and equipment,236.3
"ESP Electricity, gas, steam and air conditioning supply",122116.0
"ESP Water collection, treatment and supply",200.3
"ESP Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",2547.2
ESP Construction,3828.1
ESP Wholesale and retail trade and repair of motor vehicles and motorcycles,990.6
"ESP Wholesale trade, except of motor vehicles and motorcycles",2955.4
"ESP Retail trade, except of motor vehicles and motorcycles",3716.3
ESP Land transport and transport via pipelines,30500.0
ESP Water transport,8271.4
ESP Air transport,19490.2
ESP Warehousing and support activities for transportation,2845.3
ESP Postal and courier activities,239.4
ESP Accommodation and food service activities,2824.2
ESP Publishing activities,25.7
"ESP Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",105.7
ESP Telecommunications,439.7
"ESP Computer programming, consultancy and related activities; information service activities",300.9
"ESP Financial service activities, except insurance and pension funding",439.6
"ESP Insurance, reinsurance and pension funding, except compulsory social security",94.2
ESP Activities auxiliary to financial services and insurance activities,194.6
ESP Real estate activities,350.6
ESP Legal and accounting activities; activities of head offices; management consultancy activities,622.9
ESP Architectural and engineering activities; technical testing and analysis,458.0
ESP Scientific research and development,65.2
ESP Advertising and market research,185.8
"ESP Other professional, scientific and technical activities; veterinary activities",167.8
ESP Administrative and support service activities,1524.1
ESP Public administration and defence; compulsory social security,2277.5
ESP Education,1869.2
ESP Human health and social work activities,1776.2
ESP Other service activities,1307.0
ESP Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
ESP Activities of extraterritorial organizations and bodies,0.0
"FRA Crop and animal production, hunting and related service activities",10891.7
FRA Forestry and logging,652.7
FRA Fishing and aquaculture,1057.5
FRA Mining and quarrying,2970.5
"FRA Manufacture of food products, beverages and tobacco products",8944.6
"FRA Manufacture of textiles, wearing apparel and leather products",892.5
"FRA Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",386.5
FRA Manufacture of paper and paper products,2267.8
FRA Printing and reproduction of recorded media,564.6
FRA Manufacture of coke and refined petroleum products ,15566.5
FRA Manufacture of chemicals and chemical products ,15326.6
FRA Manufacture of basic pharmaceutical products and pharmaceutical preparations,78.7
FRA Manufacture of rubber and plastic products,625.3
FRA Manufacture of other non-metallic mineral products,22347.4
FRA Manufacture of basic metals,31552.0
"FRA Manufacture of fabricated metal products, except machinery and equipment",1435.8
"FRA Manufacture of computer, electronic and optical products",459.9
FRA Manufacture of electrical equipment,467.8
FRA Manufacture of machinery and equipment n.e.c.,847.1
"FRA Manufacture of motor vehicles, trailers and semi-trailers",1425.8
FRA Manufacture of other transport equipment,479.7
FRA Manufacture of furniture; other manufacturing,295.4
FRA Repair and installation of machinery and equipment,856.9
"FRA Electricity, gas, steam and air conditioning supply",42112.1
"FRA Water collection, treatment and supply",400.3
"FRA Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",9562.8
FRA Construction,6104.0
FRA Wholesale and retail trade and repair of motor vehicles and motorcycles,1604.5
"FRA Wholesale trade, except of motor vehicles and motorcycles",8168.5
"FRA Retail trade, except of motor vehicles and motorcycles",6259.4
FRA Land transport and transport via pipelines,25605.5
FRA Water transport,8183.8
FRA Air transport,19477.6
FRA Warehousing and support activities for transportation,3265.7
FRA Postal and courier activities,527.8
FRA Accommodation and food service activities,3109.6
FRA Publishing activities,256.0
"FRA Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",2055.3
FRA Telecommunications,3093.8
"FRA Computer programming, consultancy and related activities; information service activities",1060.2
"FRA Financial service activities, except insurance and pension funding",1137.6
"FRA Insurance, reinsurance and pension funding, except compulsory social security",594.1
FRA Activities auxiliary to financial services and insurance activities,294.0
FRA Real estate activities,1550.3
FRA Legal and accounting activities; activities of head offices; management consultancy activities,2556.7
